Directory,FileName,Picture Date Time,GPS Latitude,GPS Longitude,GPS Latitude Ref,GPS Longitude Ref,GPS Altitude,GPS Altitude Ref,GPS Date Stamp,GPS Processing Method,GPS Timestamp,Aperture,Exposure Time,Flash,Image Length,Image Width,ISO,Make,Model,Orientation,White Balance
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030045.JPG","2016:12:02 13:53:53","54/1,47/1,1938/100","68/1,23/1,5002/100","S","W","739/1","0","2016:12:02","GPS","16:53:4","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030046.JPG","2016:12:02 13:53:59","54/1,47/1,1916/100","68/1,23/1,4976/100","S","W","737/1","0","2016:12:02","GPS","16:53:8","3.3","0.0020","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030047.JPG","2016:12:02 13:54:43","54/1,47/1,1583/100","68/1,23/1,4753/100","S","W","736/1","0","2016:12:02","GPS","16:53:57","3.3","0.0063","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030048.JPG","2016:12:02 13:54:48","54/1,47/1,1573/100","68/1,23/1,4737/100","S","W","736/1","0","2016:12:02","GPS","16:53:59","3.3","0.0031","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030049.JPG","2016:12:02 13:54:53","54/1,47/1,1573/100","68/1,23/1,4737/100","S","W","736/1","0","2016:12:02","GPS","16:53:59","3.3","0.0063","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030051.JPG","2016:12:02 13:56:23","54/1,47/1,1682/100","68/1,23/1,4583/100","S","W","727/1","0","2016:12:02","GPS","16:55:33","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030052.JPG","2016:12:02 13:56:31","54/1,47/1,1682/100","68/1,23/1,4583/100","S","W","725/1","0","2016:12:02","GPS","16:55:33","3.3","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030054.JPG","2016:12:02 14:17:40","54/1,47/1,2568/100","68/1,23/1,2570/100","S","W","638/1","0","2016:12:07","GPS","14:17:35","3.3","0.0012","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030055.JPG","2016:12:02 14:17:57","54/1,47/1,2568/100","68/1,23/1,2570/100","S","W","632/1","0","2016:12:02","GPS","17:17:6","3.3","0.0020","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030056.JPG","2016:12:02 14:18:00","54/1,47/1,2568/100","68/1,23/1,2570/100","S","W","632/1","0","2016:12:02","GPS","17:17:6","3.3","0.0012","16","768","1024","100","Panasonic","DMC-FT5","1","0"
