Directory,FileName,Picture Date Time,GPS Latitude,GPS Longitude,GPS Latitude Ref,GPS Longitude Ref,GPS Altitude,GPS Altitude Ref,GPS Date Stamp,GPS Processing Method,GPS Timestamp,Aperture,Exposure Time,Flash,Image Length,Image Width,ISO,Make,Model,Orientation,White Balance
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030025.JPG","2016:12:02 12:35:48","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","680/1","0","0000:00:00","GPS","0:0:0","3.3","0.0016","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030026.JPG","2016:12:02 12:36:01","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","672/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030027.JPG","2016:12:02 12:36:04","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","670/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030031.JPG","2016:12:02 12:45:55","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","753/1","0","0000:00:00","GPS","0:0:0","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030032.JPG","2016:12:02 12:46:00","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","751/1","0","0000:00:00","GPS","0:0:0","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030033.JPG","2016:12:02 12:46:04","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","751/1","0","0000:00:00","GPS","0:0:0","3.3","0.0080","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030034.JPG","2016:12:02 12:46:08","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","749/1","0","0000:00:00","GPS","0:0:0","3.3","0.0080","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2951.JPG","2016:12:02 14:16:31","54/1,47/1,48037/1000","68/1,23/1,6309/1000","S","W","","","","","","2.0","0.0048","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2952.JPG","2016:12:02 14:16:35","54/1,47/1,48037/1000","68/1,23/1,6309/1000","S","W","","","","","","2.0","0.0029","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030057.JPG","2016:12:02 14:19:48","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","631/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030067.JPG","2016:12:02 14:24:49","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","633/1","0","0000:00:00","GPS","0:0:0","3.3","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030116.JPG","2016:12:03 18:10:42","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","171/1","0","0000:00:00","GPS","0:0:0","3.3","0.0100","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030118.JPG","2016:12:03 18:10:59","54/1,50/1,51748/1000","68/1,34/1,23617/1000","S","W","165/1","0","0000:00:00","","0:0:0","3.3","0.017","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030119.JPG","2016:12:03 18:11:07","54/1,50/1,51748/1000","68/1,34/1,23617/1000","S","W","165/1","0","0000:00:00","","0:0:0","3.3","0.017","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030121.JPG","2016:12:03 18:11:46","54/1,50/1,51748/1000","68/1,34/1,23617/1000","S","W","167/1","0","0000:00:00","","0:0:0","3.3","0.0040","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030123.JPG","2016:12:03 18:12:53","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","169/1","0","0000:00:00","GPS","0:0:0","3.3","0.017","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2974.JPG","2016:12:03 18:13:37","","","","","","","","","","2.8","0.0012","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030134.JPG","2016:12:03 18:17:20","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","174/1","0","0000:00:00","GPS","0:0:0","3.3","0.017","16","1024","768","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2830.JPG","2016:11:23 11:17:40","51/1,49/1,13800/1000","69/1,24/1,31946/1000","S","W","","","","","","5.0","0.0040","16","1024","768","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030148.JPG","2016:12:03 18:34:59","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","163/1","0","0000:00:00","GPS","0:0:0","3.3","0.0063","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030173.JPG","2016:12:04 11:19:31","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","311/1","0","0000:00:00","GPS","0:0:0","3.3","0.017","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030191.JPG","2016:12:04 12:24:17","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","320/1","0","0000:00:00","GPS","0:0:0","3.3","0.017","16","768","1024","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2831.JPG","2016:11:23 11:17:47","51/1,49/1,13800/1000","69/1,24/1,31946/1000","S","W","","","","","","5.0","0.0012","16","1024","768","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2832.JPG","2016:11:23 11:17:52","51/1,49/1,13800/1000","69/1,24/1,31946/1000","S","W","","","","","","2.5","0.0012","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2833.JPG","2016:11:23 11:18:09","51/1,49/1,13800/1000","69/1,24/1,31946/1000","S","W","","","","","","3.2","0.0012","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2835.JPG","2016:11:23 11:18:54","51/1,49/1,13800/1000","69/1,24/1,31946/1000","S","W","","","","","","3.2","0.0011","16","1024","768","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2836.JPG","2016:11:23 11:19:02","51/1,49/1,13800/1000","69/1,24/1,31946/1000","S","W","","","","","","2.8","0.0012","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2825.JPG","2016:11:23 11:16:35","","","","","","","","","","3.2","0.0012","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2826.JPG","2016:11:23 11:16:48","","","","","","","","","","2.2","0.0012","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2827.JPG","2016:11:23 11:17:04","","","","","","","","","","2.2","0.0011","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2828.JPG","2016:11:23 11:17:17","","","","","","","","","","2.2","0.0012","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2829.JPG","2016:11:23 11:17:28","","","","","","","","","","2.0","0.0031","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2834.JPG","2016:11:23 11:18:24","","","","","","","","","","4.0","0.0011","16","768","1024","100","FUJIFILM","X30","1","0"
