Directory,FileName,Picture Date Time,GPS Latitude,GPS Longitude,GPS Latitude Ref,GPS Longitude Ref,GPS Altitude,GPS Altitude Ref,GPS Date Stamp,GPS Processing Method,GPS Timestamp,Aperture,Exposure Time,Flash,Image Length,Image Width,ISO,Make,Model,Orientation,White Balance
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030025.JPG","2016:12:02 12:35:48","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","680/1","0","0000:00:00","GPS","0:0:0","3.3","0.0016","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030026.JPG","2016:12:02 12:36:01","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","672/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030027.JPG","2016:12:02 12:36:04","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","670/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030031.JPG","2016:12:02 12:45:55","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","753/1","0","0000:00:00","GPS","0:0:0","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030032.JPG","2016:12:02 12:46:00","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","751/1","0","0000:00:00","GPS","0:0:0","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030033.JPG","2016:12:02 12:46:04","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","751/1","0","0000:00:00","GPS","0:0:0","3.3","0.0080","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030034.JPG","2016:12:02 12:46:08","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","749/1","0","0000:00:00","GPS","0:0:0","3.3","0.0080","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030915.JPG","2017:01:18 17:23:12","46/1,21/1,135262/2727","72/1,45/1,13336/509","S","W","25077/103","0","2017:01:18","GPS","20:23:12","3.3","0.017","16","1024","768","800","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030914.JPG","2017:01:18 17:23:04","46/1,21/1,57667/1162","72/1,45/1,27103/1035","S","W","155851/640","0","2017:01:18","GPS","20:23:4","3.3","0.020","16","1024","768","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030916.JPG","2017:01:18 17:23:16","46/1,21/1,53902/1087","72/1,45/1,17821/680","S","W","155315/638","0","2017:01:18","GPS","20:23:16","3.3","0.025","16","1024","768","400","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2951.JPG","2016:12:02 14:16:31","","","","","","","","","","2.0","0.0048","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1040055.JPG","2017:02:04 14:56:25","42/1,54/1,32953/3295","72/1,43/1,54308/5861","S","W","177728/3915","0","2017:02:04","GPS","17:56:25","3.3","0.0020","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1040057.JPG","2017:02:04 14:56:30","42/1,54/1,12371/1289","72/1,43/1,13069/1318","S","W","68021/1499","0","2017:02:04","GPS","17:56:30","3.3","0.0025","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2825.JPG","2016:11:23 11:16:35","","","","","","","","","","3.2","0.0012","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2826.JPG","2016:11:23 11:16:48","","","","","","","","","","2.2","0.0012","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2827.JPG","2016:11:23 11:17:04","","","","","","","","","","2.2","0.0011","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2828.JPG","2016:11:23 11:17:17","","","","","","","","","","2.2","0.0012","16","768","1024","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2829.JPG","2016:11:23 11:17:28","","","","","","","","","","2.0","0.0031","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2830.JPG","2016:11:23 11:17:40","","","","","","","","","","5.0","0.0040","16","1024","768","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2831.JPG","2016:11:23 11:17:47","","","","","","","","","","5.0","0.0012","16","1024","768","200","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","DSCF2832.JPG","2016:11:23 11:17:52","","","","","","","","","","2.5","0.0012","16","768","1024","100","FUJIFILM","X30","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1040038.JPG","2017:02:02 10:57:10","54/1,43/1,4116/625","68/1,6/1,8874/625","S","W","14551/50","0","2017:02:02","GPS","13:57:10","4.7","0.013","16","768","1024","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1040037.JPG","2017:02:02 10:56:50","54/1,43/1,4116/625","68/1,6/1,8874/625","S","W","14551/50","0","2017:02:02","GPS","13:56:50","4.7","0.013","16","1024","768","200","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1040036.JPG","2017:02:02 10:56:45","54/1,43/1,4116/625","68/1,6/1,8874/625","S","W","14551/50","0","2017:02:02","GPS","13:56:45","4.7","0.0040","16","1024","768","200","Panasonic","DMC-FT5","1","0"
